Timestamp,Total Score,Area,Distance Preferred,Parking Options,Cost Per Hour,Type of Parking,Type of Area,CCTV Security,Water Service,Other Feedback
2024/07/18 05:37:29 PM GMT+5:30,5.99 / 0,580 sq feet,Kanakpura,Street parking,10 rs,Perpendicular parking,Open area,No,Yes,Good feedback
2024/04/01 11:48:19 PM GMT+5:30,2.06 / 0,113 sq feet,Kanakpura,Street parking,53 rs,Perpendicular parking,Closed area,No,Yes,Cost should be relevant
2024/01/03 12:02:47 PM GMT+5:30,0.21 / 0,880 sq feet,Kanakpura,Street parking,99 rs,Perpendicular parking,Closed area,Yes,No,Good feedback
2024/01/04 01:53:37 PM GMT+5:30,3.78 / 0,35 sq feet,Suburban Area,Residential area,16 rs,Parallel parking,Open area,No,No,Good one
2024/04/27 07:49:55 PM GMT+5:30,9.91 / 0,138 sq feet,Kanakpura,Commercial area,43 rs,Perpendicular parking,Open area,Yes,No,Cost should be relevant
2024/04/19 09:39:30 AM GMT+5:30,6.36 / 0,650 sq feet,Harohalli,Commercial area,15 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/03/22 08:42:05 PM GMT+5:30,0.55 / 0,266 sq feet,Harohalli,Commercial area,28 rs,Perpendicular parking,Closed area,No,Yes,Cost should be relevant
2024/04/07 01:43:01 AM GMT+5:30,4.44 / 0,684 sq feet,Suburban Area,Residential area,94 rs,Angle parking,Open area,No,No,Good feedback
2024/08/07 02:20:07 AM GMT+5:30,0.82 / 0,910 sq feet,Harohalli,Commercial area,36 rs,Angle parking,Open area,Yes,No,Good one
2024/08/14 07:26:54 PM GMT+5:30,9.41 / 0,304 sq feet,City Center,Street parking,87 rs,Angle parking,Open area,Yes,No,Good one
2024/03/29 07:59:06 AM GMT+5:30,6.03 / 0,653 sq feet,City Center,Commercial area,61 rs,Angle parking,Open area,Yes,Yes,Good one
2024/08/31 06:18:34 AM GMT+5:30,8.82 / 0,489 sq feet,Suburban Area,Residential area,24 rs,Perpendicular parking,Open area,No,No,Good one
2024/08/28 12:03:31 AM GMT+5:30,2.66 / 0,46 sq feet,Harohalli,Commercial area,54 rs,Angle parking,Open area,Yes,Yes,
2024/08/23 04:43:19 AM GMT+5:30,5.57 / 0,998 sq feet,Suburban Area,Commercial area,47 rs,Perpendicular parking,Open area,No,No,Cost should be relevant
2024/08/21 04:21:08 AM GMT+5:30,8.33 / 0,279 sq feet,Harohalli,Commercial area,47 rs,Angle parking,Closed area,Yes,No,
2024/09/21 03:06:43 AM GMT+5:30,2.63 / 0,533 sq feet,Suburban Area,Residential area,86 rs,Perpendicular parking,Closed area,No,No,Cost should be relevant
2024/08/28 03:58:35 PM GMT+5:30,5.99 / 0,714 sq feet,Suburban Area,Commercial area,65 rs,Perpendicular parking,Closed area,No,No,
2024/01/10 09:26:04 PM GMT+5:30,1.18 / 0,664 sq feet,Harohalli,Residential area,53 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/08/13 07:28:12 AM GMT+5:30,2.49 / 0,164 sq feet,Harohalli,Commercial area,32 rs,Parallel parking,Open area,No,Yes,Good one
2024/07/21 05:49:04 PM GMT+5:30,7.65 / 0,87 sq feet,Harohalli,Residential area,74 rs,Perpendicular parking,Open area,Yes,No,Good one
2024/07/30 05:30:57 AM GMT+5:30,6.87 / 0,530 sq feet,City Center,Residential area,19 rs,Parallel parking,Open area,Yes,No,Good one
2024/01/09 12:32:50 PM GMT+5:30,1.78 / 0,185 sq feet,Kanakpura,Commercial area,65 rs,Angle parking,Open area,No,Yes,Cost should be relevant
2024/09/11 02:22:20 PM GMT+5:30,0.65 / 0,170 sq feet,Kanakpura,Residential area,89 rs,Parallel parking,Closed area,Yes,Yes,Good feedback
2024/07/02 03:17:00 AM GMT+5:30,3.23 / 0,832 sq feet,City Center,Commercial area,86 rs,Perpendicular parking,Closed area,No,Yes,Good one
2024/02/08 03:33:18 AM GMT+5:30,9.82 / 0,275 sq feet,Kanakpura,Commercial area,51 rs,Parallel parking,Closed area,Yes,No,Good feedback
2024/09/05 06:16:14 AM GMT+5:30,7.97 / 0,766 sq feet,City Center,Residential area,55 rs,Perpendicular parking,Closed area,Yes,Yes,
2024/08/10 08:38:58 PM GMT+5:30,7.54 / 0,636 sq feet,Harohalli,Commercial area,56 rs,Perpendicular parking,Closed area,Yes,No,
2024/01/12 02:36:40 AM GMT+5:30,2.32 / 0,929 sq feet,Suburban Area,Street parking,66 rs,Parallel parking,Open area,No,No,Good feedback
2024/06/03 06:38:51 AM GMT+5:30,2.31 / 0,196 sq feet,Kanakpura,Street parking,66 rs,Angle parking,Closed area,No,Yes,Good one
2024/06/18 09:44:57 AM GMT+5:30,5.97 / 0,51 sq feet,Kanakpura,Commercial area,97 rs,Angle parking,Open area,No,No,
2024/01/31 12:18:23 AM GMT+5:30,6.99 / 0,538 sq feet,City Center,Commercial area,37 rs,Parallel parking,Open area,No,No,Cost should be relevant
2024/05/27 12:43:05 AM GMT+5:30,1.13 / 0,347 sq feet,City Center,Street parking,72 rs,Angle parking,Open area,No,No,
2024/02/29 12:36:02 PM GMT+5:30,6.33 / 0,456 sq feet,Suburban Area,Residential area,90 rs,Parallel parking,Open area,Yes,No,Good feedback
2024/06/30 10:33:41 PM GMT+5:30,9.01 / 0,960 sq feet,City Center,Commercial area,98 rs,Parallel parking,Closed area,No,Yes,Good one
2024/03/23 05:32:19 PM GMT+5:30,8.88 / 0,925 sq feet,City Center,Street parking,47 rs,Perpendicular parking,Closed area,Yes,Yes,Cost should be relevant
2024/03/19 12:48:41 AM GMT+5:30,3.84 / 0,449 sq feet,Harohalli,Commercial area,92 rs,Parallel parking,Closed area,No,No,Cost should be relevant
2024/03/30 09:42:49 AM GMT+5:30,0.33 / 0,66 sq feet,Suburban Area,Residential area,86 rs,Perpendicular parking,Open area,No,No,Good feedback
2024/01/25 12:55:48 AM GMT+5:30,2.69 / 0,506 sq feet,Harohalli,Street parking,14 rs,Perpendicular parking,Closed area,No,No,
2024/06/16 07:06:36 AM GMT+5:30,4.04 / 0,686 sq feet,Kanakpura,Street parking,10 rs,Parallel parking,Closed area,No,No,Cost should be relevant
2024/04/13 02:01:11 PM GMT+5:30,8.35 / 0,207 sq feet,Harohalli,Street parking,13 rs,Parallel parking,Open area,No,Yes,
2024/02/28 08:15:15 PM GMT+5:30,2.64 / 0,18 sq feet,Kanakpura,Commercial area,45 rs,Parallel parking,Closed area,Yes,Yes,Good feedback
2024/05/13 05:52:58 PM GMT+5:30,2.61 / 0,245 sq feet,Suburban Area,Commercial area,38 rs,Perpendicular parking,Closed area,Yes,Yes,Good one
2024/08/05 04:49:32 PM GMT+5:30,2.58 / 0,413 sq feet,Harohalli,Residential area,54 rs,Angle parking,Closed area,No,Yes,Good one
2024/07/30 03:30:54 AM GMT+5:30,5.02 / 0,218 sq feet,City Center,Street parking,25 rs,Angle parking,Closed area,No,Yes,Good feedback
2024/04/02 06:05:43 PM GMT+5:30,4.79 / 0,152 sq feet,Harohalli,Residential area,11 rs,Perpendicular parking,Open area,No,Yes,Good feedback
2024/08/25 09:19:54 PM GMT+5:30,0.06 / 0,457 sq feet,Kanakpura,Street parking,28 rs,Angle parking,Closed area,No,No,Good one
2024/03/28 07:13:07 AM GMT+5:30,2.89 / 0,290 sq feet,Kanakpura,Residential area,98 rs,Angle parking,Open area,No,No,
2024/01/13 03:04:00 AM GMT+5:30,5.99 / 0,545 sq feet,Harohalli,Commercial area,75 rs,Angle parking,Open area,No,No,
2024/03/20 03:24:42 PM GMT+5:30,1.14 / 0,686 sq feet,Suburban Area,Commercial area,41 rs,Parallel parking,Closed area,Yes,Yes,Good one
2024/08/19 02:56:04 PM GMT+5:30,4.22 / 0,835 sq feet,Suburban Area,Residential area,89 rs,Perpendicular parking,Closed area,No,Yes,Good feedback
2024/07/18 06:08:54 PM GMT+5:30,1.36 / 0,296 sq feet,City Center,Commercial area,54 rs,Parallel parking,Closed area,No,No,Cost should be relevant
2024/03/23 08:11:24 AM GMT+5:30,0.21 / 0,297 sq feet,Suburban Area,Street parking,40 rs,Perpendicular parking,Open area,Yes,No,
2024/06/29 01:29:51 AM GMT+5:30,7.81 / 0,584 sq feet,Kanakpura,Street parking,99 rs,Perpendicular parking,Open area,Yes,No,Good feedback
2024/08/12 12:56:13 PM GMT+5:30,3.07 / 0,710 sq feet,Harohalli,Street parking,54 rs,Parallel parking,Closed area,Yes,Yes,Cost should be relevant
2024/08/19 06:09:59 PM GMT+5:30,7.50 / 0,954 sq feet,Harohalli,Street parking,45 rs,Angle parking,Open area,No,No,Good feedback
2024/02/27 08:54:49 AM GMT+5:30,6.48 / 0,748 sq feet,Harohalli,Residential area,29 rs,Perpendicular parking,Open area,No,Yes,Good feedback
2024/02/21 12:45:47 PM GMT+5:30,4.84 / 0,526 sq feet,City Center,Residential area,12 rs,Parallel parking,Open area,No,No,
2024/05/29 04:50:34 AM GMT+5:30,2.39 / 0,652 sq feet,City Center,Residential area,88 rs,Angle parking,Closed area,Yes,Yes,
2024/08/10 01:27:39 AM GMT+5:30,9.23 / 0,360 sq feet,Suburban Area,Residential area,94 rs,Angle parking,Closed area,Yes,Yes,Good one
2024/08/24 07:30:03 PM GMT+5:30,2.66 / 0,470 sq feet,Suburban Area,Street parking,53 rs,Perpendicular parking,Open area,No,Yes,Good one
2024/03/21 08:13:13 PM GMT+5:30,0.26 / 0,520 sq feet,City Center,Residential area,35 rs,Perpendicular parking,Closed area,No,No,Good one
2024/04/02 01:48:47 AM GMT+5:30,8.77 / 0,581 sq feet,Kanakpura,Commercial area,32 rs,Parallel parking,Open area,Yes,No,Cost should be relevant
2024/02/02 07:44:14 AM GMT+5:30,9.13 / 0,13 sq feet,City Center,Residential area,20 rs,Parallel parking,Closed area,Yes,Yes,Good feedback
2024/01/04 08:13:30 AM GMT+5:30,5.16 / 0,386 sq feet,Kanakpura,Street parking,66 rs,Perpendicular parking,Open area,Yes,Yes,
2024/05/20 05:53:03 PM GMT+5:30,8.27 / 0,236 sq feet,City Center,Residential area,74 rs,Perpendicular parking,Closed area,No,No,Good one
2024/03/13 07:19:39 AM GMT+5:30,3.40 / 0,738 sq feet,Kanakpura,Commercial area,67 rs,Perpendicular parking,Open area,Yes,Yes,Cost should be relevant
2024/09/24 05:49:36 AM GMT+5:30,7.56 / 0,711 sq feet,Suburban Area,Street parking,23 rs,Angle parking,Open area,Yes,No,
2024/06/21 05:56:26 PM GMT+5:30,3.71 / 0,353 sq feet,Kanakpura,Street parking,99 rs,Parallel parking,Closed area,Yes,No,Cost should be relevant
2024/05/05 09:19:19 PM GMT+5:30,4.64 / 0,421 sq feet,Kanakpura,Street parking,37 rs,Angle parking,Closed area,Yes,Yes,Cost should be relevant
2024/04/24 10:57:28 AM GMT+5:30,9.63 / 0,855 sq feet,City Center,Street parking,83 rs,Parallel parking,Closed area,No,No,
2024/05/18 05:12:55 PM GMT+5:30,6.54 / 0,413 sq feet,Kanakpura,Commercial area,69 rs,Angle parking,Closed area,No,Yes,Cost should be relevant
2024/08/15 11:02:04 PM GMT+5:30,0.62 / 0,925 sq feet,Harohalli,Residential area,14 rs,Angle parking,Closed area,No,No,Good feedback
2024/08/22 01:51:14 PM GMT+5:30,3.13 / 0,858 sq feet,City Center,Street parking,58 rs,Perpendicular parking,Closed area,No,No,
2024/01/09 07:32:43 PM GMT+5:30,0.33 / 0,648 sq feet,City Center,Street parking,63 rs,Parallel parking,Open area,No,No,Cost should be relevant
2024/06/16 01:19:44 AM GMT+5:30,2.58 / 0,853 sq feet,City Center,Commercial area,17 rs,Angle parking,Closed area,No,Yes,Good one
2024/08/03 10:09:49 AM GMT+5:30,4.45 / 0,641 sq feet,Kanakpura,Street parking,85 rs,Angle parking,Closed area,No,Yes,Good feedback
2024/07/14 01:44:13 PM GMT+5:30,1.53 / 0,543 sq feet,Harohalli,Residential area,64 rs,Perpendicular parking,Closed area,No,Yes,
2024/01/17 03:20:07 AM GMT+5:30,1.21 / 0,250 sq feet,Harohalli,Residential area,100 rs,Angle parking,Open area,Yes,Yes,Good one
2024/03/10 02:21:45 AM GMT+5:30,8.88 / 0,831 sq feet,Suburban Area,Residential area,52 rs,Perpendicular parking,Closed area,No,No,Cost should be relevant
2024/07/10 11:45:13 PM GMT+5:30,3.90 / 0,961 sq feet,Kanakpura,Street parking,38 rs,Parallel parking,Open area,Yes,No,Good feedback
2024/01/08 03:44:47 PM GMT+5:30,0.01 / 0,95 sq feet,Kanakpura,Commercial area,47 rs,Perpendicular parking,Closed area,No,Yes,Good feedback
2024/04/29 10:36:32 PM GMT+5:30,1.44 / 0,317 sq feet,City Center,Street parking,37 rs,Angle parking,Open area,Yes,Yes,Good one
2024/07/13 02:04:47 PM GMT+5:30,7.23 / 0,641 sq feet,Kanakpura,Commercial area,85 rs,Angle parking,Closed area,No,Yes,
2024/07/01 06:25:22 PM GMT+5:30,3.44 / 0,121 sq feet,Suburban Area,Residential area,58 rs,Angle parking,Open area,No,Yes,
2024/04/11 12:25:23 AM GMT+5:30,7.97 / 0,99 sq feet,Kanakpura,Street parking,64 rs,Perpendicular parking,Closed area,Yes,Yes,Good feedback
2024/06/16 07:10:00 AM GMT+5:30,8.51 / 0,289 sq feet,Harohalli,Residential area,31 rs,Parallel parking,Open area,Yes,Yes,Good feedback
2024/01/03 09:35:50 AM GMT+5:30,9.04 / 0,518 sq feet,City Center,Street parking,79 rs,Angle parking,Closed area,Yes,No,Cost should be relevant
2024/06/11 04:26:24 AM GMT+5:30,5.10 / 0,630 sq feet,Kanakpura,Commercial area,10 rs,Perpendicular parking,Open area,Yes,Yes,
